ID,File,Category,Line,Context,English Text,Bahasa Indonesia,Status,Full Line,Pattern
1,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,43,title,Acquisition of Near-Cloud-Free Satellite Imagery,,Needs Translation,"st.title(""Acquisition of Near-Cloud-Free Satellite Imagery"")","st\.title\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
2,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,112,header,Upload Area of Interest (Shapefile),Unggah Area Minat (Shapefile),Translated,"st.subheader(""Upload Area of Interest (Shapefile)"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
3,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,113,markdown,currently the platform only support shapefile in .zip format,"Saat ini, wahana hanya mendukung shapefile dalam format berkas .zip.",Translated,"st.markdown(""currently the platform only support shapefile in .zip format"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
4,1_Module_1_Generate_Image_Mosaic.py,Labels,117,file_uploader,Upload a zipped shapefile (.zip),Unggah shapefile dalam berkas .zip,Translated,"uploaded_file = st.file_uploader(""Upload a zipped shapefile (.zip)"", type=[""zip""])","st\.file_uploader\s*\(\s*[""\']([^""\']+)[""\']\s*"
5,1_Module_1_Generate_Image_Mosaic.py,Messages,139,error,No .shp file found in the uploaded zip.,Shapefile tidak ditemukan dalam berkas zip yang diunggah.,Translated,"st.error(""No .shp file found in the uploaded zip."")","st\.error\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
6,1_Module_1_Generate_Image_Mosaic.py,Messages,144,success,Shapefile loaded successfully!,Berkas (Shapefile) berhasil dimuat!,Translated,"st.success(""Shapefile loaded successfully!"")","st\.success\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
7,1_Module_1_Generate_Image_Mosaic.py,Messages,155,success,AOI conversion completed!,Area Minat berhasil diproses!,Translated,"st.success(""AOI conversion completed!"")","st\.success\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
8,1_Module_1_Generate_Image_Mosaic.py,Messages,166,error,Failed to convert AOI to Google Earth Engine format,Gagal memuat Area Minat ke server,Translated,"st.error(""Failed to convert AOI to Google Earth Engine format"")","st\.error\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
9,1_Module_1_Generate_Image_Mosaic.py,Messages,168,error,Geometry validation failed,Validasi Geometri gagal.,Translated,"st.error(""Geometry validation failed"")","st\.error\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
10,1_Module_1_Generate_Image_Mosaic.py,Messages,172,info,"Make sure your shapefile includes all necessary files (.shp, .shx, .dbf, .prj)","Pastikan Shapefile Anda memuat semua berkas yang diperlukan (.shp, .shx, .dbf, .prj).",Translated,"st.info(""Make sure your shapefile includes all necessary files (.shp, .shx, .dbf, .prj)"")","st\.info\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
11,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,178,header,Specify Imagery Search Criteria,Tentukan Kriteria Pencarian Citra,Translated,"st.subheader(""Specify Imagery Search Criteria"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
12,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,198,header,Select Time Period,Pilih Periode Waktu,Translated,"st.subheader(""Select Time Period"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
13,1_Module_1_Generate_Image_Mosaic.py,Labels,211,selectbox,Select Year,Pilih tahun,Translated,"year = st.selectbox(""Select Year"", years, index=years.index(2020))","st\.selectbox\s*\(\s*[""\']([^""\']+)[""\']\s*"
14,1_Module_1_Generate_Image_Mosaic.py,Labels,220,date_input,Start Date:,Tanggal mulai:,Translated,"start_date_dt = st.date_input(""Start Date:"", default_start)","st\.date_input\s*\(\s*[""\']([^""\']+)[""\']\s*"
15,1_Module_1_Generate_Image_Mosaic.py,Labels,221,date_input,End Date:,Tanggal selesai:,Translated,"end_date_dt = st.date_input(""End Date:"", default_end)","st\.date_input\s*\(\s*[""\']([^""\']+)[""\']\s*"
16,1_Module_1_Generate_Image_Mosaic.py,Labels,265,slider,Maximum Scene Cloud Cover (%):,,Needs Translation,"cloud_cover = st.slider(""Maximum Scene Cloud Cover (%):"", 0, 100, 30)","st\.slider\s*\(\s*[""\']([^""\']+)[""\']\s*"
17,1_Module_1_Generate_Image_Mosaic.py,Messages,314,warning,"No images found for the selected criteria, increase cloud cover threshold,  change the date range, or make sure the acquisition date aligned with Landsat Mission Avaliability.",,Needs Translation,"st.warning(""No images found for the selected criteria, increase cloud cover threshold,  change the date range, or make sure the acquisition date aligned with Landsat Mission Avaliability."")","st\.warning\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
18,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,380,markdown,#### Cloud Cover Statistics,,Needs Translation,"st.markdown(""#### Cloud Cover Statistics"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
19,1_Module_1_Generate_Image_Mosaic.py,Other UI Text,392,unknown,Download Scene List as CSV,,Needs Translation,"label=""Download Scene List as CSV"",","label\s*=\s*[""\']([^""\']+)[""\']"
20,1_Module_1_Generate_Image_Mosaic.py,Messages,398,info,No scene data available to display,,Needs Translation,"st.info(""No scene data available to display"")","st\.info\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
21,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,399,header,Detailed Statistics,,Needs Translation,"#st.subheader(""Detailed Statistics"") {'bands': ['RED', 'GREEN', 'BLUE'], 'min': 0, 'max': 0.3}","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
22,1_Module_1_Generate_Image_Mosaic.py,Messages,432,info,Upload an AOI and specify search criteria to begin.,Unggah Area Minat dan tentukan kriteria pencarian untuk memulai.,Translated,"st.info(""Upload an AOI and specify search criteria to begin."")","st\.info\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
23,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,437,header,Export Imagery to Google Drive,,Needs Translation,"st.subheader(""Export Imagery to Google Drive"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
24,1_Module_1_Generate_Image_Mosaic.py,Other UI Text,446,unknown,The output will be saved as GeoTIFF (.tif),Hasil akan disimpan dalam format GeoTIFF (.tif),Translated,"help=""The output will be saved as GeoTIFF (.tif)""","help\s*=\s*[""\']([^""\']+)[""\']"
25,1_Module_1_Generate_Image_Mosaic.py,Other UI Text,470,unknown,Example: 32648 (UTM Zone 48N),,Needs Translation,"help=""Example: 32648 (UTM Zone 48N)""","help\s*=\s*[""\']([^""\']+)[""\']"
26,1_Module_1_Generate_Image_Mosaic.py,Messages,556,info,Debugging info:,Informasi Pemecahan Masalah:,Translated,"st.info(""Debugging info:"")","st\.info\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
27,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,562,header,Earth Engine Export Monitor,,Needs Translation,"st.subheader(""Earth Engine Export Monitor"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
28,1_Module_1_Generate_Image_Mosaic.py,Labels,567,button,🔄 Refresh All,,Needs Translation,"if st.button(""🔄 Refresh All""):","st\.button\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
29,1_Module_1_Generate_Image_Mosaic.py,Messages,604,error,Failed to get task status,,Needs Translation,"st.error(""Failed to get task status"")","st\.error\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
30,1_Module_1_Generate_Image_Mosaic.py,Other UI Text,615,unknown,Refresh this task,,Needs Translation,"if st.button(f""🔄"", key=f""refresh_{i}"", help=""Refresh this task""):","help\s*=\s*[""\']([^""\']+)[""\']"
31,1_Module_1_Generate_Image_Mosaic.py,Messages,741,success,✅ Export completed successfully!,,Needs Translation,"st.success(""✅ Export completed successfully!"")","st\.success\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
32,1_Module_1_Generate_Image_Mosaic.py,Labels,765,button,🗑️ Clear All Completed Tasks,,Needs Translation,"if st.button(""🗑️ Clear All Completed Tasks""):","st\.button\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
33,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,774,header,Module Navigation,Navigasi modul,Translated,"st.subheader(""Module Navigation"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
34,1_Module_1_Generate_Image_Mosaic.py,Labels,777,button,Go to Module 2: Classification Scheme,Lanjut ke Modul 2: Tentukan Skema Klasifikasi,Translated,"if st.button(""Go to Module 2: Classification Scheme""):","st\.button\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
35,1_Module_1_Generate_Image_Mosaic.py,Messages,781,info,Please generate an imagery mosaic before proceeding,,Needs Translation,"st.info(""Please generate an imagery mosaic before proceeding"")","st\.info\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
36,2_Module_2_Classification_scheme.py,Titles Headers,81,title,Determining LULC Classification Schema and Classes,,Needs Translation,"st.title(""Determining LULC Classification Schema and Classes"")","st\.title\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
37,2_Module_2_Classification_scheme.py,Markdown Content,92,markdown,---,,Needs Translation,"st.markdown(""---"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
38,2_Module_2_Classification_scheme.py,Markdown Content,105,markdown,#### Add a New Class,,Needs Translation,"st.markdown(""#### Add a New Class"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
39,2_Module_2_Classification_scheme.py,Markdown Content,175,markdown,#### Upload Classification Scheme,,Needs Translation,"st.markdown(""#### Upload Classification Scheme"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
40,2_Module_2_Classification_scheme.py,Labels,185,file_uploader,Choose a CSV file,,Needs Translation,"uploaded_file = st.file_uploader(""Choose a CSV file"", type=['csv'])","st\.file_uploader\s*\(\s*[""\']([^""\']+)[""\']\s*"
41,2_Module_2_Classification_scheme.py,Markdown Content,195,markdown,### Select Columns,,Needs Translation,"st.markdown(""### Select Columns"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
42,2_Module_2_Classification_scheme.py,Markdown Content,250,markdown,---,,Needs Translation,"st.markdown(""---"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
43,2_Module_2_Classification_scheme.py,Markdown Content,251,markdown,### Adjust Color for each class,,Needs Translation,"st.markdown(""### Adjust Color for each class"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
44,2_Module_2_Classification_scheme.py,Messages,252,info,Color have been randomly generated. You can adjust them if needed.,,Needs Translation,"st.info(""Color have been randomly generated. You can adjust them if needed."")","st\.info\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
45,2_Module_2_Classification_scheme.py,Markdown Content,273,markdown,---,,Needs Translation,"st.markdown(""---"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
46,2_Module_2_Classification_scheme.py,Markdown Content,294,markdown,#### Load Default Classification Scheme,,Needs Translation,"st.markdown(""#### Load Default Classification Scheme"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
47,2_Module_2_Classification_scheme.py,Messages,295,info,Quick start with predefined RESTORE+ project land cover classes,,Needs Translation,"st.info(""Quick start with predefined RESTORE+ project land cover classes"")","st\.info\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
48,2_Module_2_Classification_scheme.py,Markdown Content,328,markdown,---,,Needs Translation,"st.markdown(""---"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
49,2_Module_2_Classification_scheme.py,Markdown Content,329,markdown,#### Current Classification Scheme,,Needs Translation,"st.markdown(""#### Current Classification Scheme"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
50,2_Module_2_Classification_scheme.py,Messages,335,warning,⚠️ No classes defined yet. Add your first class above!,,Needs Translation,"st.warning(""⚠️ No classes defined yet. Add your first class above!"")","st\.warning\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
51,2_Module_2_Classification_scheme.py,Other UI Text,361,unknown,Edit class,,Needs Translation,"if st.button(""✏️"", key=f""edit_{idx}"", help=""Edit class""):","help\s*=\s*[""\']([^""\']+)[""\']"
52,2_Module_2_Classification_scheme.py,Other UI Text,367,unknown,Delete class,,Needs Translation,"if st.button(""🗑️"", key=f""delete_{idx}"", help=""Delete class""):","help\s*=\s*[""\']([^""\']+)[""\']"
53,2_Module_2_Classification_scheme.py,Markdown Content,375,markdown,---,,Needs Translation,"st.markdown(""---"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
54,2_Module_2_Classification_scheme.py,Other UI Text,382,unknown,📥 Download as CSV,,Needs Translation,"label=""📥 Download as CSV"",","label\s*=\s*[""\']([^""\']+)[""\']"
55,2_Module_2_Classification_scheme.py,Other UI Text,442,unknown,Add at least one class to proceed,,Needs Translation,"help=""Add at least one class to proceed"")","help\s*=\s*[""\']([^""\']+)[""\']"
56,2_Module_2_Classification_scheme.py,Messages,448,info,💡 Add at least one class to complete this module,,Needs Translation,"st.info(""💡 Add at least one class to complete this module"")","st\.info\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
57,3_Module_3_Generate_ROI.py,Titles Headers,24,title,Penentuan Data Sampel Klasifikasi Tutupan/penggunaan lahan,,Needs Translation,"st.title(""Penentuan Data Sampel Klasifikasi Tutupan/penggunaan lahan"")","st\.title\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
58,3_Module_3_Generate_ROI.py,Markdown Content,29,markdown,1. Mengunggah data sampel training.,,Needs Translation,"st.markdown(""1. Mengunggah data sampel training."")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
59,3_Module_3_Generate_ROI.py,Markdown Content,30,markdown,2. Membuat data sampel training melalui sampling on screen.,,Needs Translation,"st.markdown(""2. Membuat data sampel training melalui sampling on screen."")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
60,3_Module_3_Generate_ROI.py,Markdown Content,31,markdown,3. Menggunakan data sampel default Epistem.,,Needs Translation,"st.markdown(""3. Menggunakan data sampel default Epistem."")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
61,3_Module_3_Generate_ROI.py,Markdown Content,44,markdown,Ketersediaan keluaran hasil modul 1 dan 2,,Needs Translation,"st.markdown(""Ketersediaan keluaran hasil modul 1 dan 2"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
62,3_Module_3_Generate_ROI.py,Messages,52,success,✅ Data AOI dari modul 1 tersedia,,Needs Translation,"st.success(""✅ Data AOI dari modul 1 tersedia"")","st\.success\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
63,3_Module_3_Generate_ROI.py,Messages,55,error,"❌ Data AOI belum tersedia, silakan kunjungi modul 1.",,Needs Translation,"st.error(""❌ Data AOI belum tersedia, silakan kunjungi modul 1."")","st\.error\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
64,3_Module_3_Generate_ROI.py,Messages,79,error,"❌ Data skema klasifikasi belum tersedia, silakan kunjungi modul 2.",,Needs Translation,"st.error(""❌ Data skema klasifikasi belum tersedia, silakan kunjungi modul 2."")","st\.error\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
65,3_Module_3_Generate_ROI.py,Messages,115,error,❌ Data klasifikasi tidak dapat dimuat dengan benar. Silakan kembali ke Modul 2 dan pastikan skema klasifikasi telah disimpan.,,Needs Translation,"st.error(""❌ Data klasifikasi tidak dapat dimuat dengan benar. Silakan kembali ke Modul 2 dan pastikan skema klasifikasi telah disimpan."")","st\.error\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
66,3_Module_3_Generate_ROI.py,Messages,149,info,"🔄 Berdasarkan pilihan skema klasifikasi default di Modul 2, sistem akan menggunakan data sampel default Epistem.",,Needs Translation,"st.info(""🔄 Berdasarkan pilihan skema klasifikasi default di Modul 2, sistem akan menggunakan data sampel default Epistem."")","st\.info\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
67,3_Module_3_Generate_ROI.py,Titles Headers,150,header,Gunakan data sampel default (Epistem),,Needs Translation,"st.subheader(""Gunakan data sampel default (Epistem)"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
68,3_Module_3_Generate_ROI.py,Markdown Content,151,markdown,Data training akan dimuat dari dataset referensi RESTORE+ yang sesuai dengan skema klasifikasi yang dipilih.,,Needs Translation,"st.markdown(""Data training akan dimuat dari dataset referensi RESTORE+ yang sesuai dengan skema klasifikasi yang dipilih."")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
69,3_Module_3_Generate_ROI.py,Messages,192,success,Data training referensi berhasil dimuat!,,Needs Translation,"st.success(""Data training referensi berhasil dimuat!"")","st\.success\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
70,3_Module_3_Generate_ROI.py,Titles Headers,201,header,B. Pemrosesan & Validasi Data Training,,Needs Translation,"st.subheader(""B. Pemrosesan & Validasi Data Training"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
71,3_Module_3_Generate_ROI.py,Messages,254,success,Data training berhasil diproses!,,Needs Translation,"st.success(""Data training berhasil diproses!"")","st\.success\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
72,3_Module_3_Generate_ROI.py,Messages,260,error,Full traceback:,,Needs Translation,"st.error(""Full traceback:"")","st\.error\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
73,3_Module_3_Generate_ROI.py,Titles Headers,266,header,C. Ringkasan Data Training,,Needs Translation,"st.subheader(""C. Ringkasan Data Training"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
74,3_Module_3_Generate_ROI.py,Markdown Content,286,markdown,#### Distribusi Data Training,,Needs Translation,"st.markdown(""#### Distribusi Data Training"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
75,3_Module_3_Generate_ROI.py,Titles Headers,312,header,D. Pembagian Data Training/Validasi,,Needs Translation,"st.subheader(""D. Pembagian Data Training/Validasi"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
76,3_Module_3_Generate_ROI.py,Labels,317,slider,Persentase data training:,,Needs Translation,"split_ratio = st.slider(""Persentase data training:"", min_value=0.5, max_value=0.9, value=0.7, step=0.05, key=""split_ratio_ref"")","st\.slider\s*\(\s*[""\']([^""\']+)[""\']\s*"
77,3_Module_3_Generate_ROI.py,Messages,344,success,Pembagian data berhasil diselesaikan!,,Needs Translation,"st.success(""Pembagian data berhasil diselesaikan!"")","st\.success\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
78,3_Module_3_Generate_ROI.py,Markdown Content,350,markdown,**Preview Data Training:**,,Needs Translation,"st.markdown(""**Preview Data Training:**"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
79,3_Module_3_Generate_ROI.py,Markdown Content,353,markdown,**Preview Data Validasi:**,,Needs Translation,"st.markdown(""**Preview Data Validasi:**"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
80,3_Module_3_Generate_ROI.py,Messages,364,info,Menggunakan seluruh dataset sebagai data training.,,Needs Translation,"st.info(""Menggunakan seluruh dataset sebagai data training."")","st\.info\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
81,3_Module_3_Generate_ROI.py,Titles Headers,368,header,Pilih Metode Pengumpulan Data Training,,Needs Translation,"st.subheader(""Pilih Metode Pengumpulan Data Training"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
82,3_Module_3_Generate_ROI.py,Titles Headers,377,header,A. Unggah data sampel (Shapefile),,Needs Translation,"st.subheader(""A. Unggah data sampel (Shapefile)"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
83,3_Module_3_Generate_ROI.py,Markdown Content,378,markdown,Silakan unggah data shapefile terkompresi dalam format .zip,,Needs Translation,"st.markdown(""Silakan unggah data shapefile terkompresi dalam format .zip"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
84,3_Module_3_Generate_ROI.py,Labels,379,file_uploader,Unggah shapefile (.zip),,Needs Translation,"uploaded_file = st.file_uploader(""Unggah shapefile (.zip)"", type=[""zip""])","st\.file_uploader\s*\(\s*[""\']([^""\']+)[""\']\s*"
85,3_Module_3_Generate_ROI.py,Messages,408,success,Data training berhasil dimuat!,,Needs Translation,"st.success(""Data training berhasil dimuat!"")","st\.success\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
86,3_Module_3_Generate_ROI.py,Markdown Content,411,markdown,**Preview data training:**,,Needs Translation,"st.markdown(""**Preview data training:**"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
87,3_Module_3_Generate_ROI.py,Other UI Text,418,unknown,Field ini harus berisi ID kelas atau nama yang sesuai dengan skema klasifikasi Anda,,Needs Translation,"help=""Field ini harus berisi ID kelas atau nama yang sesuai dengan skema klasifikasi Anda""","help\s*=\s*[""\']([^""\']+)[""\']"
88,3_Module_3_Generate_ROI.py,Messages,426,success,Data training berhasil diproses!,,Needs Translation,"st.success(""Data training berhasil diproses!"")","st\.success\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
89,3_Module_3_Generate_ROI.py,Messages,432,error,File .shp tidak ditemukan dalam zip yang diunggah.,,Needs Translation,"st.error(""File .shp tidak ditemukan dalam zip yang diunggah."")","st\.error\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
90,3_Module_3_Generate_ROI.py,Titles Headers,437,header,B. Pemrosesan & Validasi Data Training,,Needs Translation,"st.subheader(""B. Pemrosesan & Validasi Data Training"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
91,3_Module_3_Generate_ROI.py,Messages,506,success,Data training berhasil diproses!,,Needs Translation,"st.success(""Data training berhasil diproses!"")","st\.success\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
92,3_Module_3_Generate_ROI.py,Messages,512,error,Full traceback:,,Needs Translation,"st.error(""Full traceback:"")","st\.error\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
93,3_Module_3_Generate_ROI.py,Titles Headers,518,header,C. Ringkasan Data Training,,Needs Translation,"st.subheader(""C. Ringkasan Data Training"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
94,3_Module_3_Generate_ROI.py,Markdown Content,538,markdown,#### Distribusi Data Training,,Needs Translation,"st.markdown(""#### Distribusi Data Training"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
95,3_Module_3_Generate_ROI.py,Titles Headers,564,header,D. Pembagian Data Training/Validasi,,Needs Translation,"st.subheader(""D. Pembagian Data Training/Validasi"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
96,3_Module_3_Generate_ROI.py,Labels,569,slider,Persentase data training:,,Needs Translation,"split_ratio = st.slider(""Persentase data training:"", min_value=0.5, max_value=0.9, value=0.7, step=0.05, key=""split_ratio_upload"")","st\.slider\s*\(\s*[""\']([^""\']+)[""\']\s*"
97,3_Module_3_Generate_ROI.py,Messages,596,success,Pembagian data berhasil diselesaikan!,,Needs Translation,"st.success(""Pembagian data berhasil diselesaikan!"")","st\.success\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
98,3_Module_3_Generate_ROI.py,Markdown Content,602,markdown,**Preview Data Training:**,,Needs Translation,"st.markdown(""**Preview Data Training:**"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
99,3_Module_3_Generate_ROI.py,Markdown Content,605,markdown,**Preview Data Validasi:**,,Needs Translation,"st.markdown(""**Preview Data Validasi:**"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
100,3_Module_3_Generate_ROI.py,Messages,616,info,Menggunakan seluruh dataset sebagai data training.,,Needs Translation,"st.info(""Menggunakan seluruh dataset sebagai data training."")","st\.info\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
101,3_Module_3_Generate_ROI.py,Titles Headers,620,header,A. Buat data sampel (On Screen),,Needs Translation,"st.subheader(""A. Buat data sampel (On Screen)"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
102,3_Module_3_Generate_ROI.py,Messages,621,info,Gunakan peta di bawah untuk mengumpulkan sampel training dengan menambahkan koordinat secara manual.,,Needs Translation,"st.info(""Gunakan peta di bawah untuk mengumpulkan sampel training dengan menambahkan koordinat secara manual."")","st\.info\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
103,3_Module_3_Generate_ROI.py,Messages,666,success,Semua titik sampling telah dihapus!,,Needs Translation,"st.success(""Semua titik sampling telah dihapus!"")","st\.success\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
104,3_Module_3_Generate_ROI.py,Markdown Content,674,markdown,**Statistik Sampling Saat Ini:**,,Needs Translation,"st.markdown(""**Statistik Sampling Saat Ini:**"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
105,3_Module_3_Generate_ROI.py,Markdown Content,707,markdown,**Tambahkan titik secara manual:**,,Needs Translation,"st.markdown(""**Tambahkan titik secara manual:**"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
106,3_Module_3_Generate_ROI.py,Labels,711,number_input,Latitude:,,Needs Translation,"manual_lat = st.number_input(""Latitude:"", value=center_lat, format=""%.6f"", key=""manual_lat"")","st\.number_input\s*\(\s*[""\']([^""\']+)[""\']\s*"
107,3_Module_3_Generate_ROI.py,Labels,713,number_input,Longitude:,,Needs Translation,"manual_lon = st.number_input(""Longitude:"", value=center_lon, format=""%.6f"", key=""manual_lon"")","st\.number_input\s*\(\s*[""\']([^""\']+)[""\']\s*"
108,3_Module_3_Generate_ROI.py,Messages,733,error,Titik berada di luar batas AOI!,,Needs Translation,"st.error(""Titik berada di luar batas AOI!"")","st\.error\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
109,3_Module_3_Generate_ROI.py,Messages,735,error,Silakan pilih kelas terlebih dahulu!,,Needs Translation,"st.error(""Silakan pilih kelas terlebih dahulu!"")","st\.error\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
110,3_Module_3_Generate_ROI.py,Markdown Content,738,markdown,**Atau tambahkan beberapa titik sekaligus:**,,Needs Translation,"# st.markdown(""**Atau tambahkan beberapa titik sekaligus:**"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
